Question,,,Answer,,,,,,,,,,,,,,,,,,,,,,,,
WHAT'S WRONG WITH VIEWING PORNOGRAPHY,,,"Pornography devalues sex and can be very seductive and habit-forming and its scripts are quite influencial and also do not show the value of consents, with increasing needs for more sensational material. Exposure to pornography also leads to unrealistic expectations later in life. Viewing pornography detaches you from the “real world” and real relationships with people. Young men who routinely view pornography have to eventually get more and more increasingly hard-core pornography to get sexually stimulus.",,,,,,,,,,,,,,,,,,,,,,,,
What is a virgin?,,,"“A virgin is anyone who has never had sexual intercourse (oral, vaginal, or anal)”. Many teens falsely assume that they are still virgins if they only have oral sex, but this is simply not true. Oral sex is sex, vaginal sex is sex, and anal sex is sex. Any time your sexual organs are sexually stimulated by the touch of another person, you’re involved in a form of sexual activity.",,,,,,,,,,,,,,,,,,,,,,,,
 Is oral sex a safe alternative?,,,"While you cannot get pregnant through oral sex, it is still clearly a sexual act, and most teens who engage in oral sex will proceed to vaginal sex. One problem with oral sex is that the intimacy of sex is removed. Many girls often feel used after performing the act. Furthermore, virtually all STDs can be transmitted through oral sex. And some STDs, including genital Herpes, Syphilis, and Chlamydia are easily spread through oral sex as well.",,,,,,,,,,,,,,,,,,,,,,,,
What if I've already had sex?,,,Having sex is just normal and there should not be any regret if you have taken the consent,,,,,,,,,,,,,,,,,,,,,,,,
Can you get pregnant during your period?,,,"ANS- Technically, no — the time a woman is fertile is mostly limited to a few days each month in the middle of the menstrual cycle, meaning about two weeks from when she started her last period. That said, women may have bleeding during their cycle that is not a true period.",,,,,,,,,,,,,,,,,,,,,,,,
What do I do when the condom breaks?,,,"First, consider getting tested for STDs if you were using it to prevent them.If you’re concerned about getting pregnant, there are three ways to prevent it, explained here in order of effectiveness from most to least:Go to your women’s health provider (doctor or midwife, nurse practitioner, or PA) and have a copper IUD inserted.",,,,,,,,,,,,,,,,,,,,,,,,
Does penis size matter?,,,"PENIS SIZE DOESN,T MATTER IN T",,IN TERMS OF,MAKING A GIRL, PREGNANT ORHAVING ORGASMS,,,,,,,,,,,,,,,,,,,,
Should you still use protection with oral sex?,,,"Yes, to reduce the likelihood of STD transmission with oral sex, a dental dam is recommended when having sex with a new or non-monogamous partner. The dental dam is a sheet of soft pliable film that serves as a barrier to prevent STD transmission",,,,,,,,,,,,,,,,,,,,,,,,
Can you get pregnant from pre-cum?,,,It turns out there are likely not sperm in pre-ejaculate and what actually accounts for the relatively high failure rate is that the man doesn’t actually pull out,,,,,,,,,,,,,,,,,,,,,,,,
Will menstruation cause anaemia?,,,: No. the loss is compensated soon.,,,,,,,,,,,,,,,,,,,,,,,,
I get frequent wet dreams. how to stop them?,,,": It is natural. A wet dream is like a safety valve of the cooker. You do not need any treatment. It will be less when it finds an alternative vent, like masturbation or marital sexual intercourse.",,,,,,,,,,,,,,,,,,,,,,,,
WHAT HAPPENS WHEN GIRLS GET SEXUALLY STIMULATED,,,"Girl gets wetness in the vagina, but she does not ejaculate any fluid at the time of climax",,,,,,,,,,,,,,,,,,,,,,,,
Does celibacy lead to healthier life?,,,"There is no evidence that a celibate person lives longer and healthier life. On the contrary, married men like Maharshi Dhondo Keshav Karve, Shri. Vishweshwaraiyah Pandit Satavalekar who lived for over 10 years and achieved great heights in their life.",,,,,,,,,,,,,,,,,,,,,,,,
